month,visitsdiewelt,visitsfocusonline,visitsspiegelonline,visitssternde,visitszeitonline
2009m1,24599515,,,,8615955
2009m2,23175318,22431549,100699343,46326405,8502549
2009m3,24373219,24978358,118649009,52515042,10686080
2009m4,21573259,20207943,104207775,47287317,8988880
2009m5,19974622,21332852,106673727,48686091,9528658
2009m6,21577229,24437604,115219488,51415002,10820694
2009m7,19193311,24301088,113005581,51782523,10974261
2009m8,18637928,22260021,102691330,44067276,10313233
2009m9,22356297,23712861,113058251,46804284,11690870
2009m10,23228769,23983433,116448225,47824623,12791339
2009m11,25084620,25794395,121528785,51727857,13222322
2009m12,21347704,23163424,112363445,47342217,12191270
2010m1,24475552,27234730,123300984,51130881,13879457
2010m2,23286180,26896181,116605775,48966426,13360926
2010m3,25640088,28634382,128117433,58950507,15039204
2010m4,29477897,26863068,124266343,59457315,14475628
2010m5,31229807,29123963,133946453,64086645,16145150
2010m6,31772322,29272582,139611882,63167070,16512828
2010m7,30381407,27237249,131387352,61501659,16692875
2010m8,29476033,25711789,123439203,57541746,16327984
2010m9,29066263,25207761,122680225,55766949,16424416
2010m10,30466535,26303909,127591834,58099101,17854180
2010m11,32085845,27193639,134561242,61883907,18600868
2010m12,33427242,27098959,132130797,63025710,18504045
2011m1,35567290,29991302,139021437,67873656,20192064
2011m2,33670129,30073743,138348917,62414523,20747630
2011m3,45729146,41046518,189822460,86812179,26743348
2011m4,33218489,29271516,137683571,61689366,19660562
2011m5,38494587,32694752,153382628,77307972,22914294
2011m6,34345538,30429253,138787905,66641793,21299732
2011m7,34215304,32526744,136751370,66763359,20985182
2011m8,33649218,34966512,141301364,65198952,21157163
2011m9,34233270,35881471,135463542,60828024,21591636
2011m10,35590109,36515074,137912985,68212374,22743483
2011m11,36543342,36410389,142433991,67895514,23382807
2011m12,36902860,36105105,156558035,64403112,23468209
2012m1,43909313,46059449,180214907,75391092,27427638
2012m2,41361083,44978987,169373050,67789419,26275403
2012m3,41585000,43549118,170244911,63028683,26561389
2012m4,37701887,39404549,157884680,58588824,23762183
2012m5,42198106,43784034,170630983,64593312,25618934
2012m6,43873450,43450690,168580373,65192010,24464852
2012m7,43925332,45070649,165889164,64312986,24289823
2012m8,46184835,46626703,170166485,63731400,24960949
2012m9,46324094,46614416,168157396,65820918,25044322
2012m10,50539412,52044195,190118028,70100700,29385096
2012m11,47671463,53812474,191544058,70017924,29077304
2012m12,43125523,50353417,175181212,63567762,26342646
2013m1,49863933,60764994,203034538,83822019,32796380
2013m2,45973751,58878724,191960235,70907004,29925141
2013m3,49075526,65687907,181250170,75714636,31308368
2013m4,48769488,67545270,213832124,72790599,30180399
2013m5,48066068,66793906,199385519,75399537,30064766
2013m6,49428632,63447901,184606495,73834983,29152767
2013m7,39321436,38831471,144714446,60960723,26632925
2013m8,38819648,42311570,136615313,58976100,26514339
2013m9,41840023,47877983,147748270,62322708,29812205
2013m10,38903687,41886512,145927237,61353228,28692243
2013m11,38917873,40427556,135555193,60049425,29051431
2013m12,38921492,44885898,129699148,57570030,26504716
2014m1,44329762,59248438,142885212,66500430,32122268
2014m2,41385777,48587290,133496574,58580367,29936534
2014m3,44383125,58109306,153301120,61862988,30569223
2014m4,38249047,53206173,131264244,54162066,26088460
2014m5,39731001,51118710,132920168,57839829,28764182
2014m6,39510018,57040333,134978716,52777251,24496878
2014m7,43708393,60963174,148574764,58454673,28564219
2014m8,38362903,54335857,132172562,56192295,26017869
2014m9,39614575,55724485,136413312,55172442,27014423
2014m10,40370958,59147577,140682180,58768053,29156847
2014m11,39751468,57504558,134650684,59914881,28861612
2014m12,39397032,53132196,127872338,59661138,27844431
2015m1,45736478,63905960,150245789,67281306,33751803
2015m2,40294996,58936122,127715024,59979582,30863894
2015m3,45694314,72661535,149391311,70183050,36075543
2015m4,38058558,58462372,123013527,59160672,29656862
2015m5,38645874,64267657,117203957,59898672,30204649
2015m6,63310411,128733452,205110725,34495062,47816000
2015m7,68112422,134316747,222328573,32111237,51563111
2015m8,65291141,131938629,193690903,34041362,45895789
2015m9,73421751,141333126,209585504,34737028,49657042
2015m10,81884944,148046853,214488455,33611568,52567548
2015m11,87228124,168833801,243777574,42305045,58762132
2015m12,73510866,135574234,206306872,33561025,50287423
2016m1,95505766,170824337,234202109,39771778,57959980
2016m2,81782552,152495047,208340978,36361523,55151493
2016m3,84771223,170676869,235181565,39398737,57214310
2016m4,80134545,150922345,211580203,37050071,53217629
2016m5,80378467,148637869,206343523,35371665,55485995
2016m6,89538295,158949604,240339144,38100453,58017538
2016m7,89016182,174875443,254113300,41529165,62904695
2016m8,84335979,156119023,218035373,38958110,56449435
2016m9,71955077,,,,56281339
2016m10,75147640,,,,59279328
